iter	RMSE
0	189.5771794
1	168.5591855
2	152.7118244
3	141.3822123
4	129.091354
5	120.7945692
6	112.4039441
7	105.7086845
8	99.28530391
9	93.30739501
10	88.59076999
11	84.71736152
12	80.53851658
13	76.71080434
14	73.4742128
15	70.69591586
16	67.93810366
17	65.71449069
18	63.10075391
19	61.42164564
20	59.48092123
21	57.81977632
22	56.18877855
23	54.88085017
24	53.04401129
25	51.67035959
26	50.19235734
27	48.97992106
28	47.74762369
29	46.43464601
30	45.37960642
31	44.32867068
32	43.28954766
33	42.37794972
34	41.52589989
35	40.88062422
36	40.17712592
37	39.49695085
38	38.80287277
39	38.28512053
40	37.78685438
41	37.20848644
42	36.72936347
43	36.2800976
44	35.8148575
45	35.39644577
46	34.99410121
47	34.44274307
48	34.07034994
49	33.68535251
50	33.28042617
51	32.95062275
52	32.56385806
53	32.20584614
54	31.9822384
55	31.72824687
56	31.44803198
57	31.14730366
58	30.75938531
59	30.47657846
60	30.20630068
61	29.94792667
62	29.66764228
63	29.4742148
64	29.09309714
65	28.84852503
66	28.57300898
67	28.30902461
68	28.02106938
69	27.74551914
70	27.47214657
71	27.11440552
72	26.86285728
73	26.7312159
74	26.39579918
75	26.06250135
76	25.79099622
77	25.57880567
78	25.22505614
79	24.94832872
80	24.76714523
81	24.68456216
82	24.43882483
83	24.11311093
84	23.90685239
85	23.59605202
86	23.35642391
87	23.07820871
88	22.89288974
89	22.74459216
90	22.52111911
91	22.33601375
92	22.06699259
93	21.93614845
94	21.73439637
95	21.48764821
96	21.43171257
97	21.22155523
98	20.96728029
99	20.87578527
