iter	Passed	Remaining
0	2	295
1	8	406
2	13	422
3	18	440
4	23	454
5	27	429
6	30	409
7	34	394
8	37	382
9	41	376
10	45	369
11	48	358
12	54	366
13	61	378
14	73	416
15	77	407
16	83	407
17	89	406
18	94	404
19	103	414
20	110	414
21	118	419
22	126	422
23	133	422
24	138	416
25	143	409
26	157	424
27	176	454
28	185	455
29	189	442
30	194	432
31	200	425
32	205	416
33	209	407
34	216	401
35	222	394
36	225	383
37	230	376
38	236	370
39	239	359
40	244	351
41	249	344
42	253	336
43	259	330
44	271	331
45	277	325
46	282	318
47	286	310
48	293	305
49	298	298
50	302	291
51	306	282
52	312	276
53	315	269
54	320	262
55	325	255
56	330	249
57	334	241
58	338	235
59	346	231
60	354	226
61	360	220
62	365	214
63	369	207
64	373	201
65	376	193
66	384	189
67	387	182
68	390	175
69	393	168
70	396	161
71	398	155
72	401	148
73	403	141
74	408	136
75	413	130
76	416	124
77	419	118
78	424	112
79	429	107
80	433	101
81	437	96
82	442	90
83	447	85
84	451	79
85	455	74
86	461	68
87	465	63
88	469	58
89	473	52
90	476	47
91	480	41
92	483	36
93	486	31
94	490	25
95	493	20
96	496	15
97	499	10
98	503	5
99	507	0
